    27    29    26
    40    23    31
    30    29    33
    30    31    23
    28    33    29
    28     2    33
    28     1     2
    28    27     1
    28    29    27
    24    30    23
    24    29    30
     8    59     7
    60     7    59
    58     8     9
    58    59     8
    48    42    43
    48    15    16
    48    16    38
    37    16    17
    37    38    16
    37    17    18
    39    38    35
    39    48    38
    41    31    42
    41    40    31
    32    30    33
    32    31    30
    22    35    21
    22    23    40
    25    26    29
    25    29    24
     6     7    60
    10    11    57
    10    58     9
    10    57    58
    55    12    13
    55    13    14
    55    15    48
    55    14    15
    36    35    38
    36    38    37
    36    21    35
    36    18    19
    36    37    18
    34    40    41
    34    39    35
    34    41    42
    34    35    22
    34    22    40
    34    42    48
    34    48    39
    20    36    19
    20    21    36
    44    50    45
    44    33     2
    44     2     3
    44    32    33
    44    45    43
    44    43    42
    44    42    31
    44    31    32
    67    58    57
    67    59    58
    46    43    45
    56    12    55
    56    57    11
    56    11    12
    53    46    52
    51    45    50
    51    46    45
    51    52    46
    49    50    44
    49     4     5
    49    44     3
    49     3     4
    49    61    50
    49    60    61
    49     5     6
    49     6    60
    54    55    48
    47    46    53
    47    48    43
    47    43    46
    47    54    48
    47    53    54
    64    53    52
    64    54    53
    68    59    67
    68    60    59
    68    61    60
    63    64    52
    63    68    67
    66    67    57
    66    57    56
    66    63    67
    66    64    63
    62    61    68
    62    50    61
    62    51    50
    62    68    63
    62    52    51
    62    63    52
    65    54    64
    65    64    66
    65    66    56
    65    56    55
    65    55    54
    
